年月,京都,札幌,東京,仙台,名古屋,大阪,金沢,広島,高松,博多,那覇
23-Jan,5.1,-4.4,5.7,2.1,5.2,6.5,4.3,5.7,6.2,6.5,17.5
23-Feb,6,-2.7,7.3,3,6.5,7,4.9,6.9,6.5,8.2,19
23-Mar,12.3,4.9,12.9,9.3,12.7,13,10.5,12.6,12.2,13,20
23-Apr,15.4,9.2,16.3,13.3,15.9,15.9,13.9,15.7,15.5,16.3,22.5
23-May,19.7,13.8,19,16.6,20.2,20,18.4,19.9,19.7,20,24.3
23-Jun,23.6,19.3,23.2,21.6,23.8,23.8,22.9,23.3,23.5,24,27.2
23-Jul,29.1,23.8,28.7,26.6,28.9,28.9,28,27.9,28.5,28.3,29.6
23-Aug,30.3,26.7,29.2,28.6,29.4,29.9,30.5,30,29.7,29.1,28.6
23-Sep,27.7,21.5,26.7,25.1,27.3,27.9,26.6,27.2,27.4,26.4,28.7
23-Oct,18.2,13.3,18.9,16.7,18.3,19.3,17.8,18.9,19.2,18.8,26
23-Nov,13.3,6.7,14.4,11.4,13.6,14.4,13.2,14,14,14.4,22.6
23-Dec,8.2,-0.7,9.4,5.7,8.4,9.3,7.7,8.2,8.7,9.4,19.7
