ダウンロードした時刻：2024/08/13 13:28:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.data.jma.go.jp/risk/obsdl/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,京都,京都,京都,札幌,札幌,札幌,東京,東京,東京,仙台,仙台,仙台,名古屋,名古屋,名古屋,大阪,大阪,大阪,金沢,金沢,金沢,広島,広島,広島,高松,高松,高松,博多,博多,博多,那覇,那覇,那覇
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
23-Jan,5.1,8,1,-4.4,8,1,5.7,8,1,2.1,8,1,5.2,8,1,6.5,8,1,4.3,8,1,5.7,8,1,6.2,8,1,6.5,8,1,17.5,8,1
23-Feb,6,8,1,-2.7,8,1,7.3,8,1,3,8,1,6.5,8,1,7,8,1,4.9,8,1,6.9,8,1,6.5,8,1,8.2,8,1,19,8,1
23-Mar,12.3,8,1,4.9,8,1,12.9,8,1,9.3,8,1,12.7,8,1,13,8,1,10.5,8,1,12.6,8,1,12.2,8,1,13,8,1,20,8,1
23-Apr,15.4,8,1,9.2,8,1,16.3,8,1,13.3,8,1,15.9,8,1,15.9,8,1,13.9,8,1,15.7,8,1,15.5,8,1,16.3,8,1,22.5,8,1
23-May,19.7,8,1,13.8,8,1,19,8,1,16.6,8,1,20.2,8,1,20,8,1,18.4,8,1,19.9,8,1,19.7,8,1,20,8,1,24.3,8,1
23-Jun,23.6,8,1,19.3,8,1,23.2,8,1,21.6,8,1,23.8,8,1,23.8,8,1,22.9,8,1,23.3,8,1,23.5,8,1,24,8,1,27.2,8,1
23-Jul,29.1,8,1,23.8,8,1,28.7,8,1,26.6,8,1,28.9,8,1,28.9,8,1,28,8,1,27.9,8,1,28.5,8,1,28.3,8,1,29.6,8,1
23-Aug,30.3,8,1,26.7,8,1,29.2,8,1,28.6,8,1,29.4,8,1,29.9,8,1,30.5,8,1,30,8,1,29.7,8,1,29.1,8,1,28.6,8,1
23-Sep,27.7,8,1,21.5,8,1,26.7,8,1,25.1,8,1,27.3,8,1,27.9,8,1,26.6,8,1,27.2,8,1,27.4,8,1,26.4,8,1,28.7,5,1
23-Oct,18.2,8,1,13.3,8,1,18.9,8,1,16.7,8,1,18.3,8,1,19.3,8,1,17.8,8,1,18.9,8,1,19.2,8,1,18.8,8,1,26,8,1
23-Nov,13.3,8,1,6.7,8,1,14.4,8,1,11.4,8,1,13.6,8,1,14.4,8,1,13.2,8,1,14,8,1,14,8,1,14.4,8,1,22.6,8,1
23-Dec,8.2,8,1,-0.7,8,1,9.4,8,1,5.7,8,1,8.4,8,1,9.3,8,1,7.7,8,1,8.2,8,1,8.7,8,1,9.4,8,1,19.7,8,1
