https://www.data.jma.go.jp/gmd/risk/obsdl/#
ダウンロードした時刻：2024/09/03 22:26:53

,京都,京都,京都,京都,札幌,札幌,札幌,札幌,東京,東京,東京,東京,仙台,仙台,仙台,仙台,名古屋,名古屋,名古屋,名古屋,大阪,大阪,大阪,大阪,金沢,金沢,金沢,金沢,広島,広島,広島,広島,高松,高松,高松,高松,博多,博多,博多,那覇,那覇,那覇,那覇
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2023/1,39.0,0,8,1,71.5,0,8,1,15.5,0,8,1,10.0,0,8,1,25.0,0,8,1,46.0,0,8,1,197.0,0,8,1,45.5,0,8,1,32.0,0,8,1,93.0,8,1,55.0,0,8,1
2023/2,36.0,0,8,1,104.0,0,8,1,40.5,0,8,1,31.5,0,8,1,44.0,0,8,1,33.5,0,8,1,114.5,0,8,1,61.5,0,8,1,41.0,0,8,1,43.5,8,1,77.5,0,8,1
2023/3,91.5,0,8,1,35.5,0,8,1,145.0,0,8,1,61.0,0,8,1,95.0,0,8,1,76.0,0,8,1,131.5,0,8,1,64.5,0,8,1,65.5,0,8,1,80.0,8,1,81.5,0,8,1
2023/4,208.0,0,8,1,61.0,0,8,1,90.0,0,8,1,47.5,0,8,1,144.0,0,8,1,196.5,0,8,1,171.5,0,8,1,246.5,0,8,1,126.0,0,8,1,149.5,8,1,221.0,0,8,1
2023/5,253.0,0,8,1,21.5,0,8,1,159.0,0,8,1,124.5,0,8,1,173.0,0,8,1,232.0,0,8,1,231.0,0,8,1,255.0,0,8,1,159.0,0,8,1,218.5,8,1,100.5,0,8,1
2023/6,228.0,0,8,1,133.5,0,8,1,347.0,0,8,1,173.0,0,8,1,377.5,0,8,1,262.0,0,8,1,255.5,0,8,1,219.0,0,8,1,153.0,0,8,1,211.5,8,1,400.5,0,8,1
2023/7,74.5,0,8,1,61.5,0,8,1,30.0,0,8,1,155.0,0,8,1,144.0,0,8,1,100.5,0,8,1,202.5,0,8,1,307.5,0,8,1,79.0,0,8,1,485.0,8,1,92.0,0,8,1
2023/8,195.5,0,8,1,69.5,0,8,1,132.5,0,8,1,30.0,0,8,1,156.5,0,8,1,163.5,0,8,1,40.0,0,8,1,48.5,0,8,1,246.0,0,8,1,191.0,8,1,738.5,0,8,1
2023/9,70.0,0,8,1,146.0,0,8,1,229.0,0,8,1,272.0,0,8,1,98.5,0,8,1,44.0,0,8,1,108.0,0,8,1,115.0,0,8,1,62.5,0,8,1,93.5,8,1,204.5,0,8,1
2023/10,60.5,0,8,1,88.5,0,8,1,147.0,0,8,1,46.5,0,8,1,116.5,0,8,1,77.5,0,8,1,173.5,0,8,1,8.5,0,8,1,27.0,0,8,1,17.0,8,1,81.0,0,8,1
2023/11,63.0,0,8,1,126.5,0,8,1,41.5,0,8,1,45.0,0,8,1,70.5,0,8,1,92.5,0,8,1,344.5,0,8,1,33.0,0,8,1,60.5,0,8,1,50.5,8,1,56.5,0,8,1
2023/12,26.0,0,8,1,47.0,0,8,1,19.5,0,8,1,50.0,0,8,1,60.0,0,8,1,19.5,0,8,1,363.5,0,8,1,56.0,0,8,1,21.5,0,8,1,44.0,8,1,183.0,0,8,1
